,UF,Renda Salarial(R$),Acesso a internet em Domicílio,Acesso a internet em Microcomputador,Acesso a internet em Celular,Acesso a internet em 3G 4G,Classe
1304,Acre,1000,Sim,Sim,Sim,Sim,média_baixa
1308,Acre,2500,Sim,Sim,Sim,Não,média
1310,Acre,1550,Sim,Sim,Sim,Sim,média
1311,Acre,2000,Sim,Não,Sim,Sim,média
1313,Acre,1451,Sim,Não,Sim,Sim,média_baixa
1314,Acre,1975,Sim,Sim,Sim,Sim,média
1317,Acre,1650,Sim,Sim,Sim,Não,média
1319,Acre,610,Sim,Sim,Sim,Sim,média_baixa
1320,Acre,850,Sim,Sim,Sim,Sim,média_baixa
1321,Acre,6700,Sim,Sim,Não,Não,alta
1322,Acre,6000,Sim,Sim,Sim,Não,alta
1324,Acre,1366,Sim,Sim,Não,Não,média_baixa
1325,Acre,2000,Sim,Sim,Sim,Não,média
1327,Acre,3800,Sim,Sim,Não,Não,alta
1332,Acre,1140,Sim,Sim,Não,Não,média_baixa
1334,Acre,1144,Sim,Sim,Não,Não,média_baixa
1335,Acre,1800,Sim,Sim,Não,Não,média
1336,Acre,2000,Sim,Sim,Não,Não,média
1338,Acre,1066,Sim,Sim,Sim,Sim,média_baixa
1340,Acre,1033,Sim,Sim,Não,Sim,média_baixa
1342,Acre,1900,Sim,Não,Sim,Sim,média
1344,Acre,275,Sim,Sim,Sim,Sim,baixa
1348,Acre,2400,Sim,Sim,Sim,Sim,média
1349,Acre,2029,Sim,Sim,Não,Não,média
1354,Acre,1100,Sim,Não,Sim,Sim,média_baixa
1357,Acre,1100,Sim,Sim,Sim,Sim,média_baixa
1361,Acre,275,Sim,Sim,Sim,Sim,baixa
1362,Acre,800,Sim,Sim,Não,Não,média_baixa
